t_k,alpha_tk,nu_tk,r_t,V_irs
0.25000000,0.05000686,0.00740722,0.04412452,-0.02995979
0.25000000,0.05000686,0.00740722,0.05326334,0.01745993
0.25000000,0.05000686,0.00740722,0.05388963,0.02061936
0.25000000,0.05000686,0.00740722,0.05205328,0.01132326
0.25000000,0.05000686,0.00740722,0.03954219,-0.05469155
0.25000000,0.05000686,0.00740722,0.03289542,-0.09174587
0.25000000,0.05000686,0.00740722,0.05040947,0.00291825
0.25000000,0.05000686,0.00740722,0.04651231,-0.01732853
0.25000000,0.05000686,0.00740722,0.05340963,0.01819891
0.25000000,0.05000686,0.00740722,0.05520638,0.02722501
0.25000000,0.05000686,0.00740722,0.05103084,0.00610475
0.25000000,0.05000686,0.00740722,0.05563733,0.02937610
0.25000000,0.05000686,0.00740722,0.05170468,0.00954744
0.25000000,0.05000686,0.00740722,0.05393316,0.02083854
0.25000000,0.05000686,0.00740722,0.04478719,-0.02643689
0.25000000,0.05000686,0.00740722,0.04867644,-0.00602932
0.25000000,0.05000686,0.00740722,0.05146442,0.00832148
0.25000000,0.05000686,0.00740722,0.05608469,0.03160349
0.25000000,0.05000686,0.00740722,0.04709033,-0.01429682
0.25000000,0.05000686,0.00740722,0.05386726,0.02050669
0.25000000,0.05000686,0.00740722,0.04803773,-0.00934948
0.25000000,0.05000686,0.00740722,0.04913620,-0.00364690
0.25000000,0.05000686,0.00740722,0.05615129,0.03193458
0.25000000,0.05000686,0.00740722,0.03524382,-0.07849155
0.25000000,0.05000686,0.00740722,0.04040360,-0.04999240
0.25000000,0.05000686,0.00740722,0.03902799,-0.05750776
0.25000000,0.05000686,0.00740722,0.03272125,-0.09273601
0.25000000,0.05000686,0.00740722,0.04498280,-0.02539952
0.25000000,0.05000686,0.00740722,0.05555808,0.02898091
0.25000000,0.05000686,0.00740722,0.04789666,-0.01008446
0.25000000,0.05000686,0.00740722,0.05147193,0.00835983
0.25000000,0.05000686,0.00740722,0.05807493,0.04144378
0.25000000,0.05000686,0.00740722,0.05984132,0.05008367
0.25000000,0.05000686,0.00740722,0.04949474,-0.00179335
0.25000000,0.05000686,0.00740722,0.06003317,0.05101678
0.25000000,0.05000686,0.00740722,0.05068926,0.00435448
0.25000000,0.05000686,0.00740722,0.04380407,-0.03166820
0.25000000,0.05000686,0.00740722,0.04560400,-0.02211297
0.25000000,0.05000686,0.00740722,0.03904020,-0.05744077
0.25000000,0.05000686,0.00740722,0.04342826,-0.03367576
